Id,Bone_Health_Calcium,VitA_Percentage,Saturated_Lipids,Energy_Content,Cholesterol_Level,Drink_Name,Iron_Concentration,VitC_Content,Sweetness_Index,Drink_Type,Salt_Level,Health_Category,Flavor_Variant,Fibre_Amount,Processed_Oil_Content,Carb_Count,Protein_Quantity,Stimulant_Caffeine,Heart_Risk_Index,Health_Rating,Fat_Content
36,30%,5%,0.01892,29.2686,,Brand 20,0.11%,60%,80.0, Masala Chai ,18,Low_Fat,Elaichi Doodh,0.101,0.7247,454,30.5,219,18.1867, Medium ,9.2615
37,57%,52%,0.20065,30.2499,31.0,Brand 6,28.2%,8%,131.0, Cold Coffee ,11,Low_Fat,Malai Milk,0.734,3.3185,435,108.7,237,30.8702, Medium ,39.8878
38,96%,24%,0.03441,28.4188,40.0,Brand 7,0.11%,13%,37.0, Masala Chai ,11,Low_Fat,Badam Milk,0.101,0.8542,598,104.1,431,14.5977, Medium ,0.0
39,35%,0%,0.01101,3.8545,7.0,Brand 19,0.11%,8%,2.0, Masala Chai ,11,Low_Fat,Large Kulhad,0.101,1.1848,7,3.0,337,3.3381, Low ,20.9754
40,33%,4%,0.01821,0.1177,31.0,Brand 5,0.11%,7%,115.0, South Indian Filter Coffee ,10,Low_Fat,Large Kulhad,0.101,0.9057,973,57.1,154,9.5597, Medium ,16.8836
41,38%,30%,0.08852,28.1392,22.0,Brand 19,0.14%,5%,70.0, South Indian Filter Coffee ,11,Low_Fat,Full Cream Buffalo Milk,0.101,0.2532,245,22.4,20,23.6102, Low ,49.9598
42,94%,53%,0.03376,26.3747,35.0,Brand 11,2.14%,405%,177.0, Mango Shake ,17,Vitamin_Rich,Kesar Doodh,361.389,0.6301,516,109.2,34,36.0487, High ,0.0
43,31%,0%,0.02686,21.6838,16.0,Brand 14,0.11%,9%,139.0, Masala Chai ,10,Low_Fat,Badam Milk,0.101,0.3886,75,3.0,164,8.077, Medium ,66.3596
44,51%,33%,0.07892,32.3986,91.0,Brand 32,8.35%,54%,55.0, Cold Coffee ,28,Vitamin_Rich,Full Cream Buffalo Milk,0.101,0.8271,491,34.4,21,25.4615, Medium ,58.3713
45,70%,32%,0.13885,34.2098,74.0,Brand 17,25.12%,6%,138.0, Special Spiced Chai ,17,Low_Fat,Full Cream Buffalo Milk,0.101,0.8526,1254,113.0,235,17.1734, Medium ,31.0975
46,40%,0%,0.03061,11.3799,0.0,Brand 13,0.12%,10%,53.0, Nimbu Pani & Shikanji ,11,Low_Fat,Large Kulhad,0.711,0.0672,603,15.4,369,17.266, Medium ,0.0
47,42%,39%,0.01659,24.9289,83.0,Brand 9,15.0%,8%,177.0, Lassi Blends ,28,Vitamin_Rich,Elaichi Doodh,0.101,1.4413,592,60.0,268,13.4034, Medium ,48.5242
48,42%,4%,0.02091,20.6786,11.0,Brand 6,0.11%,10%,82.0, Light Buttermilk (Chaas) ,17,Low_Fat,Ek Chhoti Pyali,5.131,0.3582,544,22.0,221,8.2235, Medium ,0.0
49,30%,26%,0.04443,30.9267,14.0,Brand 32,18.51%,7%,135.0, Nimbu Pani & Shikanji ,11,Low_Fat,Badam Milk,0.101,1.3357,115,24.2,43,13.4006, Medium ,26.984
50,46%,35%,0.02728,14.5378,0.0,Brand 14,1.78%,9%,64.0, South Indian Filter Coffee ,10,Vitamin_Rich,Malai Milk,0.101,1.3691,419,48.6,165,10.027, Medium ,1.803
51,68%,31%,0.08812,33.0193,74.0,Brand 12,24.55%,40%,156.0, Mango Shake ,49,Low_Fat,Medium Glass,185.125,0.6966,426,27.5,48,35.5036, Medium ,0.0
52,33%,23%,0.01978,26.2827,65.0,Brand 17,0.46%,47%,70.0, Cold Coffee ,11,Low_Fat,Badam Milk,0.112,1.277,170,33.8,20,13.9941, Medium ,0.0
53,44%,30%,0.01443,30.1621,49.0,Brand 12,0.11%,8%,58.0, Lassi Blends ,10,Low_Fat,Elaichi Doodh,7.525,0.9941,276,30.6,44,23.8776, Medium ,0.0
54,136%,51%,0.02632,28.4868,10.0,Brand 11,0.7%,7%,123.0, Masala Chai ,44,Low_Fat,Malai Milk,0.671,3.5921,406,129.1,241,18.0962, Medium ,8.1954
55,82%,39%,0.01275,20.4159,0.0,Brand 4,2.96%,5%,42.0, South Indian Filter Coffee ,10,Vitamin_Rich,Badam Milk,2.71,0.7165,222,17.7,138,12.6647, Medium ,7.9169
56,50%,27%,0.03329,26.4808,22.0,Brand 17,13.96%,7%,121.0, Masala Chai ,11,Vitamin_Rich,Kesar Doodh,1.241,0.8959,173,46.0,220,19.8682, Medium ,33.911
57,83%,61%,0.01102,24.2604,29.0,Brand 6,23.36%,10%,180.0, Special Spiced Chai ,18,Vitamin_Rich,Malai Milk,0.412,3.8441,565,134.9,38,15.0687, Medium ,34.0058
58,10%,2%,0.01818,7.8119,12.0,Brand 21,0.11%,11%,60.0, Nimbu Pani & Shikanji ,12,Low_Fat,Malai Milk,0.101,0.8565,172,16.3,272,3.3381, Medium ,0.0
59,99%,52%,0.16457,13.9977,39.0,Brand 10,2.99%,12%,, South Indian Filter Coffee ,41,Vitamin_Rich,Kesar Doodh,1.401,2.8188,571,57.8,140,22.492, Medium ,65.4944
60,140%,47%,0.0664,26.7727,39.0,Brand 16,39.25%,6%,169.0, South Indian Filter Coffee ,16,Vitamin_Rich,Malai Milk,143.615,2.8844,467,110.7,40,15.301, High ,71.4221
61,23%,30%,0.10121,16.8057,33.0,Brand 9,0.11%,7%,59.0, Masala Chai ,10,Low_Fat,Medium Glass,0.101,0.906,166,22.1,215,11.7367, Medium ,3.1079
62,32%,0%,0.02416,32.4277,16.0,Brand 1,3.27%,9%,38.0, Nimbu Pani & Shikanji ,11,Low_Fat,Small Glass,6.854,0.0,3,4.3,27,14.8736, High ,0.0
63,91%,54%,0.01576,22.5884,2.0,Brand 33,0.17%,13%,28.0, Special Spiced Chai ,11,Vitamin_Rich,Malai Milk,0.101,2.2156,322,85.4,62,24.7769, Medium ,13.1135
64,139%,29%,0.02076,28.2568,69.0,Brand 32,0.11%,52%,30.0, Special Spiced Chai ,10,Low_Fat,Badam Milk,0.101,1.3539,336,115.1,36,24.206, Medium ,11.8852
65,28%,23%,0.08821,31.7301,64.0,Brand 32,32.75%,8%,75.0, Cold Coffee ,11,Low_Fat,Badam Milk,4.026,0.8257,366,48.7,20,25.8706, Medium ,46.3083
66,10%,5%,0.0283,11.9869,18.0,Brand 19,1.47%,9%,145.0, Nimbu Pani & Shikanji ,10,Low_Fat,Badam Milk,0.101,0.9701,36,3.6,438,3.6187, Medium ,0.0
67,30%,32%,0.01858,33.8759,40.0,Brand 7,24.04%,47%,154.0, Special Spiced Chai ,10,Low_Fat,Full Cream Buffalo Milk,1.258,1.4429,593,27.2,238,28.3027, Medium ,0.0
68,19%,31%,0.02851,24.468,22.0,Brand 26,0.11%,5%,166.0, South Indian Filter Coffee ,16,Low_Fat,Saffron-Infused Milk,0.101,0.4015,297,16.1,72,5.7679, Medium ,7.4729
69,64%,32%,0.02593,19.8626,19.0,Brand 15,0.11%,12%,20.0, South Indian Filter Coffee ,11,Low_Fat,Badam Milk,3.221,1.0312,188,35.0,153,12.9582, Medium ,9.7799
70,98%,54%,0.07636,34.1761,13.0,Brand 9,22.75%,14%,2.0, South Indian Filter Coffee ,51,Vitamin_Rich,Malai Milk,24.229,3.7429,651,115.2,214,17.9525, Medium ,19.8597
71,75%,45%,0.08262,37.5782,106.0,Brand 32,41.57%,5%,150.0, Cold Coffee ,11,Vitamin_Rich,Full Cream Buffalo Milk,1.523,1.1343,304,58.7,20,41.2696, Medium ,3.673
72,62%,37%,0.03493,28.1626,36.0,Brand 32,0.11%,44%,71.0, Masala Chai ,10,Low_Fat,Extra Large Kulhad,2.968,0.6844,0,94.1,30,22.3184, Medium ,8.96
73,27%,1%,0.02521,17.3909,17.0,Brand 27,0.11%,10%,116.0, Masala Chai ,11,Low_Fat,Large Kulhad,0.101,0.3177,115,9.7,35,4.4181, Medium ,1.8216
74,41%,33%,0.07902,31.497,55.0,Brand 9,27.79%,6%,161.0, Cold Coffee ,42,Vitamin_Rich,Malai Milk,2.795,4.0067,512,43.7,152,43.9433, Medium ,90.0024
75,45%,43%,0.09394,29.8609,33.0,Brand 10,0.11%,11%,32.0, Special Spiced Chai ,25,Vitamin_Rich,Malai Milk,0.101,4.2599,66,29.2,130,9.8537, Medium ,64.1228
76,13%,3%,0.01985,22.0045,28.0,Brand 5,0.57%,12%,34.0, Lassi Blends ,11,Low_Fat,Large Kulhad,2.23,0.0,55,3.0,20,5.1194, Medium ,0.0
77,10%,2%,0.01101,8.3873,13.0,Brand 13,0.11%,11%,2.0, Nimbu Pani & Shikanji ,10,Low_Fat,Saffron-Infused Milk,0.101,0.0,154,16.6,284,7.8961, Low ,1.8195
78,61%,50%,0.07635,30.1685,66.0,Brand 11,2.62%,9%,110.0, South Indian Filter Coffee ,40,Vitamin_Rich,Malai Milk,7.357,3.1745,368,90.4,259,24.4361, Medium ,170.346
79,69%,52%,0.04259,15.9514,3.0,Brand 2,0.11%,10%,60.0, Light Buttermilk (Chaas) ,16,Vitamin_Rich,Malai Milk,8.291,3.8598,92,57.3,223,20.1151, Medium ,9.7836
80,43%,35%,0.02729,19.4343,8.0,Brand 9,0.11%,6%,155.0, Special Spiced Chai ,17,Vitamin_Rich,Saffron-Infused Milk,0.101,1.4674,497,51.8,136,16.0148, Medium ,8.3667
81,37%,5%,0.01732,35.5403,28.0,Brand 9,1.72%,9%,125.0, Special Spiced Chai ,11,Low_Fat,Saffron-Infused Milk,4.503,0.1165,916,17.8,193,20.4203, Medium ,0.0
82,15%,0%,0.0303,28.5446,13.0,Brand 25,14.85%,9%,60.0, South Indian Filter Coffee ,10,Low_Fat,Extra Large Kulhad,0.432,0.5746,157,7.0,251,7.6129, Medium ,0.0
83,22%,1%,0.01101,14.5033,25.0,Brand 9,0.11%,9%,4.0, Masala Chai ,11,Low_Fat,Badam Milk,0.101,1.1496,293,7.4,158,6.1736, Low ,10.9872
84,90%,57%,0.02124,32.3959,25.0,Brand 4,0.11%,9%,180.0, South Indian Filter Coffee ,34,Vitamin_Rich,Kesar Doodh,1.81,2.3635,142,49.7,145,14.3194, Medium ,0.1814
85,45%,44%,0.02716,30.4961,52.0,Brand 14,0.11%,9%,90.0, Lassi Blends ,29,Low_Fat,Saffron-Infused Milk,0.101,1.072,459,77.3,23,23.5933, Medium ,0.0
86,54%,22%,0.08742,22.9493,57.0,Brand 25,2.83%,10%,23.0, South Indian Filter Coffee ,10,Vitamin_Rich,Badam Milk,4.039,0.9712,357,24.3,42,26.4177, Medium ,45.7128
87,92%,3%,0.02516,30.3512,43.0,Brand 10,0.11%,9%,137.0, Masala Chai ,38,Low_Fat,Malai Milk,0.101,0.8401,123,33.8,220,20.7306, Medium ,14.4352
88,46%,8%,0.01727,18.3064,25.0,Brand 16,25.0%,7%,135.0, Nimbu Pani & Shikanji ,10,Low_Fat,Elaichi Doodh,1.553,1.1625,78,87.7,159,8.1059, Low ,1.3565
89,62%,58%,0.16716,30.7097,22.0,Brand 11,0.11%,16%,120.0, South Indian Filter Coffee ,43,Vitamin_Rich,Malai Milk,4.035,4.1005,596,124.1,64,35.4786, Medium ,220.6864
90,55%,40%,0.01452,2.0718,8.0,Brand 4,0.11%,10%,2.0, South Indian Filter Coffee ,11,Low_Fat,Rose Milk,1.862,1.2978,83,39.9,314,3.3652, Medium ,9.4598
91,45%,24%,0.09415,31.6238,78.0,Brand 32,33.81%,5%,53.0, South Indian Filter Coffee ,10,Vitamin_Rich,Badam Milk,0.101,3.3298,691,54.4,20,35.1621, Medium ,55.5694
92,59%,31%,0.03714,24.1121,61.0,Brand 9,3.11%,5%,129.0, Masala Chai ,10,Vitamin_Rich,Badam Milk,0.101,1.1698,532,33.0,367,12.0143, Medium ,6.9101
93,137%,48%,0.08302,37.1191,59.0,Brand 4,42.79%,9%,96.0, South Indian Filter Coffee ,49,Vitamin_Rich,Malai Milk,0.101,3.9815,570,102.8,198,43.9196, Medium ,277.6961
94,122%,35%,0.09719,33.385,28.0,Brand 11,35.37%,10%,162.0, Masala Chai ,26,Vitamin_Rich,Malai Milk,4.914,4.9355,520,66.6,196,26.2225, Medium ,194.559
95,10%,5%,0.02137,8.2329,10.0,Brand 1,0.11%,13%,11.0, Nimbu Pani & Shikanji ,12,Low_Fat,Medium Glass,0.101,0.351,0,3.0,384,6.5343, Low ,0.0
96,124%,52%,0.1071,36.1143,74.0,Brand 10,27.94%,15%,44.0, Masala Chai ,11,Vitamin_Rich,Malai Milk,5.262,0.8886,898,34.8,119,26.6151, Medium ,165.8675
97,94%,55%,0.16525,36.6587,69.0,Brand 6,22.11%,9%,43.0, Masala Chai ,31,Vitamin_Rich,Kesar Doodh,0.101,4.016,303,58.2,251,25.0779, Medium ,67.8873
98,21%,26%,0.07541,41.6536,108.0,Brand 14,31.01%,7%,61.0, Cold Coffee ,31,Vitamin_Rich,Malai Milk,0.762,5.0991,706,44.7,179,48.1, Medium ,22.236
99,70%,55%,0.14405,23.5138,43.0,Brand 32,23.56%,13%,206.0, Lassi Blends ,38,Vitamin_Rich,Malai Milk,0.683,3.0148,388,106.7,76,23.9759, Medium ,48.0947
100,92%,28%,0.0977,29.7771,53.0,Brand 9,0.87%,9%,74.0, South Indian Filter Coffee ,10,Vitamin_Rich,Elaichi Doodh,0.334,0.5319,47,97.3,212,19.7711, Medium ,66.1387
101,41%,30%,0.09527,28.0715,44.0,Brand 10,0.11%,5%,2.0, Masala Chai ,10,Low_Fat,Malai Milk,0.101,0.6031,202,46.9,146,20.141, Medium ,9.8297
102,10%,0%,0.02884,5.6601,18.0,Brand 18,0.11%,8%,6.0, Nimbu Pani & Shikanji ,11,Low_Fat,Rose Milk,3.082,0.3366,196,3.0,60,3.3381, Medium ,0.0
103,17%,37%,0.0955,26.1501,38.0,Brand 32,6.62%,5%,84.0, Masala Chai ,28,Vitamin_Rich,Malai Milk,0.101,0.4727,445,21.1,31,26.3885, Medium ,3.4054
104,104%,44%,0.09169,26.6477,30.0,Brand 9,29.8%,8%,126.0, South Indian Filter Coffee ,25,Vitamin_Rich,Malai Milk,0.101,2.9413,606,96.2,248,22.774, Medium ,68.0682
105,54%,36%,0.01101,26.4427,53.0,Brand 15,0.11%,67%,49.0, Light Buttermilk (Chaas) ,11,Low_Fat,Elaichi Doodh,0.735,0.9808,339,26.9,154,14.8186, Medium ,0.0
106,134%,39%,0.08581,34.2091,69.0,Brand 25,28.07%,8%,71.0, Masala Chai ,18,Low_Fat,Elaichi Doodh,5.723,1.962,1018,44.5,38,31.9973, Medium ,5.5672
107,15%,39%,0.03512,25.5801,,Brand 5,0.11%,5%,51.0, South Indian Filter Coffee ,10,Vitamin_Rich,Badam Milk,0.101,2.1635,84,37.8,133,9.708, Medium ,0.0
108,93%,32%,0.23462,31.3067,95.0,Brand 10,25.8%,405%,193.0, Cold Coffee ,28,Vitamin_Rich,Full Cream Buffalo Milk,0.101,3.1234,846,92.6,209,37.6917, Medium ,69.868
109,109%,67%,0.03085,34.3878,67.0,Brand 19,20.71%,8%,107.0, Special Spiced Chai ,27,Low_Fat,Elaichi Doodh,0.101,1.1634,920,51.3,20,21.8319, Medium ,45.3903
110,35%,47%,0.01473,24.5953,8.0,Brand 12,1.25%,9%,20.0, South Indian Filter Coffee ,17,Low_Fat,Kesar Doodh,0.101,2.1248,54,43.8,27,28.7163, Medium ,0.0
111,10%,2%,0.01711,15.435,14.0,Brand 19,0.11%,8%,109.0, Nimbu Pani & Shikanji ,11,Low_Fat,Extra Large Kulhad,0.101,0.0,52,3.0,228,5.6011, Medium ,4.8458
112,50%,4%,0.02099,21.668,30.0,Brand 32,0.11%,6%,77.0, Special Spiced Chai ,10,Low_Fat,Badam Milk,0.354,0.9362,57,33.3,56,22.2144, High ,0.0
113,53%,22%,0.09867,23.1035,18.0,Brand 14,20.79%,5%,45.0, Lassi Blends ,10,Low_Fat,Saffron-Infused Milk,0.101,0.7823,315,26.8,20,16.6505, Medium ,56.7584
114,36%,30%,0.06804,34.198,71.0,Brand 27,30.94%,12%,200.0, Lassi Blends ,17,Vitamin_Rich,Malai Milk,314.459,3.0669,730,118.5,28,39.0592, Medium ,65.9092
115,46%,29%,0.01659,22.4438,76.0,Brand 32,29.46%,51%,107.0, Light Buttermilk (Chaas) ,10,Vitamin_Rich,Kesar Doodh,5.795,1.8981,929,37.0,51,21.4403, High ,6.8078
116,10%,0%,0.02436,5.1858,0.0,Brand 21,0.11%,13%,2.0, Special Spiced Chai ,11,Low_Fat,Large Kulhad,0.101,0.0,0,22.8,423,3.3774, Low ,0.0
117,28%,27%,0.03461,24.2618,46.0,Brand 32,0.11%,10%,55.0, Masala Chai ,11,Vitamin_Rich,Badam Milk,0.964,1.2091,134,31.5,40,8.0914, Medium ,11.9662
118,32%,31%,0.026,30.4041,22.0,Brand 16,28.45%,7%,80.0, Masala Chai ,10,Vitamin_Rich,Badam Milk,2.221,1.6396,400,21.0,195,16.9264, Medium ,68.9151
119,45%,27%,0.0114,27.7837,74.0,Brand 25,43.0%,11%,86.0, Cold Coffee ,11,Vitamin_Rich,Badam Milk,1.673,1.1299,472,54.0,21,19.2561, Medium ,6.8145
120,10%,0%,0.03225,28.8204,30.0,Brand 19,0.11%,8%,57.0, Masala Chai ,11,Low_Fat,Full Cream Buffalo Milk,0.101,0.0,292,3.0,235,4.0067, Medium ,0.0
121,110%,54%,0.01101,6.4517,21.0,Brand 17,1.78%,5%,22.0, South Indian Filter Coffee ,40,Low_Fat,Malai Milk,0.101,2.421,657,36.4,288,10.2794, Medium ,41.6106
122,53%,30%,0.09286,30.5736,71.0,Brand 32,20.08%,8%,69.0, South Indian Filter Coffee ,24,Vitamin_Rich,Full Cream Buffalo Milk,1.932,3.0194,438,64.4,38,15.5516, Medium ,4.0385
123,37%,7%,0.02976,19.3705,3.0,Brand 12,0.11%,14%,53.0, Nimbu Pani & Shikanji ,11,Low_Fat,Malai Milk,0.101,1.6695,0,26.4,144,3.3381, Medium ,0.0
124,71%,55%,0.02148,26.1908,31.0,Brand 4,0.11%,9%,211.0, South Indian Filter Coffee ,18,Vitamin_Rich,Malai Milk,0.101,0.7737,758,69.3,246,15.7162, Medium ,9.5972
125,27%,36%,0.03253,18.0046,7.0,Brand 32,14.86%,5%,122.0, Lassi Blends ,18,Low_Fat,Badam Milk,1.377,0.3541,167,32.9,45,19.4279, Medium ,0.0
126,31%,49%,0.01101,35.0557,72.0,Brand 25,0.11%,9%,146.0, South Indian Filter Coffee ,18,Low_Fat,Kesar Doodh,0.101,0.0,861,72.1,254,18.4467, Medium ,0.0
127,27%,78%,0.01101,27.7501,41.0,Brand 25,0.11%,66%,186.0, Lassi Blends ,10,Low_Fat,Kesar Doodh,1.495,0.2101,639,59.2,74,24.8879, Medium ,12.4329
128,28%,28%,0.10095,34.1089,103.0,Brand 32,30.63%,10%,117.0, Special Spiced Chai ,27,Vitamin_Rich,Malai Milk,0.101,3.3575,450,68.5,20,41.4485, Medium ,57.2982
129,16%,31%,0.07269,29.2014,81.0,Brand 32,9.14%,77%,221.0, Special Spiced Chai ,11,Low_Fat,Elaichi Doodh,0.101,0.8929,355,47.8,23,28.8021, Medium ,17.6998
130,136%,40%,0.17993,35.5947,52.0,Brand 10,21.12%,8%,107.0, South Indian Filter Coffee ,42,Vitamin_Rich,Elaichi Doodh,0.101,3.7954,723,96.1,51,38.4777, Medium ,65.3907
131,34%,27%,0.07715,37.0575,61.0,Brand 23,10.2%,69%,196.0, Cold Coffee ,25,Low_Fat,Saffron-Infused Milk,164.381,1.0672,562,43.9,20,40.5903, Medium ,32.3885
132,87%,47%,0.02236,28.6001,61.0,Brand 25,15.02%,12%,146.0, Special Spiced Chai ,12,Low_Fat,Malai Milk,0.101,1.4163,179,96.0,34,35.1199, Medium ,5.2517
133,68%,29%,0.09746,35.9899,75.0,Brand 10,28.78%,64%,67.0, Lassi Blends ,10,Vitamin_Rich,Badam Milk,3.662,3.7285,401,26.0,20,28.8337, Medium ,63.2812
